NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
4,egfet,27807384.0,27640238.0,48483964.0,28372298.0,0.003173,0.8144,0.0146,11.08,0.0,0.0,32.0,32.0,88.29,6,2
5,egfet,27807384.0,27640238.0,45380137.0,26614700.0,0.002904,0.8714,0.0141,12.57,0.0,0.0,32.0,32.0,84.88,6,2
6,egfet,27807384.0,27640238.0,42451937.0,26968612.0,0.002774,0.899,0.0257,21.79,0.0,0.0,60.0,60.0,254.5,6,2
7,egfet,27807384.0,27640238.0,43765027.0,27230900.0,0.00281,0.9036,0.02947,23.11,0.0,0.0,64.0,64.0,333.5,6,2
8,egfet,27807384.0,27640238.0,35865720.0,26664806.0,0.002313,0.9339,0.05083,29.2,0.0,0.0,72.0,72.0,451.4,6,2
9,egfet,27807384.0,27640238.0,33259114.0,27505044.0,0.002128,0.9855,0.06018,42.93,0.0,0.0,128.0,128.0,922.0,6,2
-1,egfet,28388658.0,28235528.0,52148744.0,28235528.0,0.003214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3
0,egfet,28388658.0,28235528.0,49267184.0,28525756.0,0.003243,0.2538,0.006243,4.061,0.0,0.0,16.0,16.0,48.48,6,3
1,egfet,28388658.0,28235528.0,45743837.0,28331136.0,0.002916,0.4409,0.008452,5.508,0.0,0.0,16.0,16.0,45.62,6,3
2,egfet,28388658.0,28235528.0,43233040.0,28360752.0,0.002671,0.6889,0.01611,14.12,0.0,0.0,32.0,32.0,125.6,6,3
3,egfet,28388658.0,28235528.0,40637847.0,28332628.0,0.002701,0.8165,0.01799,14.64,0.0,0.0,32.0,32.0,113.5,6,3
4,egfet,28388658.0,28235528.0,44806867.0,28488232.0,0.002981,0.7112,0.02437,17.84,0.0,0.0,48.0,48.0,221.9,6,3
5,egfet,28388658.0,28235528.0,40654687.0,27968744.0,0.002698,0.843,0.0351,28.0,0.0,0.0,64.0,64.0,367.1,6,3
6,egfet,28388658.0,28235528.0,38178337.0,28095510.0,0.002749,0.9416,0.03356,28.74,0.0,0.0,76.0,76.0,383.4,6,3
7,egfet,28388658.0,28235528.0,28539454.0,28138484.0,0.001575,0.9557,0.07398,47.95,0.0,0.0,140.0,140.0,1186.0,6,3
8,egfet,28388658.0,28235528.0,24193060.0,27608104.0,0.001449,0.9864,0.1166,102.4,0.0,0.0,268.0,268.0,5143.0,6,3
9,egfet,28388658.0,28235528.0,23027927.0,27511018.0,0.001434,0.9864,0.1426,101.8,0.0,0.0,268.0,268.0,4576.0,6,3
-1,egfet,34251880.01,33326408.0,69119659.0,33326408.0,0.003946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
0,egfet,34251880.01,33326408.0,63518735.0,39895996.0,0.003769,0.7465,0.00634,7.954,0.0,0.0,16.0,16.0,32.08,7,1
1,egfet,34251880.01,33326408.0,60048978.0,33526800.0,0.003648,0.8727,0.03035,32.24,0.0,0.0,64.0,64.0,610.2,7,1
2,egfet,34251880.01,33326408.0,63126575.0,33390704.0,0.00395,0.6871,0.03008,35.88,0.0,0.0,96.0,96.0,1131.0,7,1
3,egfet,34251880.01,33326408.0,51834991.0,32055600.0,0.003029,0.8425,0.03399,36.92,0.0,0.0,96.0,96.0,730.3,7,1
4,egfet,34251880.01,33326408.0,54076518.0,33499512.0,0.003193,0.8254,0.07549,91.84,0.0,0.0,224.0,224.0,4885.0,7,1
5,egfet,34251880.01,33326408.0,49587811.0,34799880.0,0.002897,0.9047,0.09358,106.6,0.0,0.0,320.0,320.0,6800.0,7,1
