NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
7,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
8,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
9,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
10,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
11,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
12,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
13,egfet,12797137.01,12797128.0,3658370.0,5047412.0,0.0003706,1.0,0.2058,16.76,5.586,2.0,48.0,46.0,177.4,4,1
14,egfet,12797137.01,12797128.0,3540730.0,7837161.5,0.0003323,1.0,0.3052,28.22,9.406,2.0,218.0,216.0,2484.0,4,1
15,egfet,12797137.01,12797128.0,3540730.0,7837161.5,0.0003323,1.0,0.3052,28.22,9.406,2.0,218.0,216.0,2484.0,4,1
16,egfet,12797137.01,12797128.0,1343280.0,3856366.5,0.0001415,1.0,0.3527,27.81,9.269,2.0,200.0,198.0,2087.0,4,1
17,egfet,12797137.01,12797128.0,1232500.0,2235340.0,0.0001744,0.9373,0.3226,27.8,9.266,0.0,200.0,200.0,2112.0,4,1
18,egfet,12797137.01,12797128.0,661920.0,2235340.0,8.061e-05,0.9375,0.3361,29.3,9.767,0.0,202.0,202.0,2150.0,4,1
19,egfet,12797137.01,12797128.0,1670720.0,5580120.0,0.0001088,0.9375,0.5122,37.04,12.35,0.0,192.0,192.0,1949.0,4,1
-1,egfet,12963517.01,12898551.0,16342680.0,12898551.0,0.001345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
0,egfet,12963517.01,12898551.0,8196800.0,8921737.0,0.0007693,0.875,1.066,16.73,5.577,0.0,32.0,32.0,147.5,4,2
1,egfet,12963517.01,12898551.0,6853520.0,7579059.5,0.0005251,1.0,1.118,19.99,6.662,2.0,42.0,40.0,277.9,4,2
2,egfet,12963517.01,12898551.0,7349240.0,7579059.5,0.0005351,0.9375,1.293,21.73,7.244,0.0,64.0,64.0,277.2,4,2
3,egfet,12963517.01,12898551.0,5044430.0,7898416.0,0.0004461,0.875,1.332,23.94,7.98,0.0,76.0,76.0,412.9,4,2
4,egfet,12963517.01,12898551.0,5763690.0,8515209.0,0.0005005,0.937,1.186,24.69,8.23,0.0,74.0,74.0,384.6,4,2
5,egfet,12963517.01,12898551.0,3400040.0,5387780.5,0.0002766,1.0,4.036,38.47,12.82,2.0,216.0,214.0,2861.0,4,2
6,egfet,12963517.01,12898551.0,3814100.0,5379604.0,0.0003427,0.9369,4.181,49.99,16.66,0.0,218.0,218.0,3417.0,4,2
7,egfet,12963517.01,12898551.0,2413480.0,4441669.0,0.0002245,0.8743,4.089,41.97,13.99,0.0,218.0,218.0,3000.0,4,2
8,egfet,12963517.01,12898551.0,2413480.0,4441669.0,0.0002245,0.8743,4.089,41.97,13.99,0.0,218.0,218.0,3000.0,4,2
-1,egfet,15078486.01,13033265.0,16817690.0,13033265.0,0.001541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
0,egfet,15078486.01,13033265.0,11617100.0,13044186.0,0.000944,0.5629,0.3119,8.006,2.669,0.0,16.0,16.0,56.0,4,3
1,egfet,15078486.01,13033265.0,11716940.0,13039225.0,0.0008126,0.5005,0.3014,8.008,2.669,0.0,16.0,16.0,64.0,4,3
2,egfet,15078486.01,13033265.0,10510820.0,13027219.0,0.0008347,0.8128,0.4251,9.007,3.002,0.0,16.0,16.0,31.01,4,3
3,egfet,15078486.01,13033265.0,10510820.0,13027219.0,0.0008347,0.6877,0.4521,12.01,4.004,0.0,24.0,24.0,96.04,4,3
4,egfet,15078486.01,13033265.0,8580480.0,12504665.0,0.000624,0.9375,0.4972,15.01,5.003,0.0,40.0,40.0,111.1,4,3
5,egfet,15078486.01,13033265.0,8580480.0,12504665.0,0.000624,0.9375,0.4972,15.01,5.003,0.0,40.0,40.0,111.1,4,3
6,egfet,15078486.01,13033265.0,8443400.0,13044519.0,0.0006517,0.8124,0.8419,15.99,5.329,0.0,32.0,32.0,112.0,4,3
7,egfet,15078486.01,13033265.0,8443400.0,13044519.0,0.0006517,0.8124,0.8419,15.99,5.329,0.0,32.0,32.0,112.0,4,3
8,egfet,15078486.01,13033265.0,6677280.0,13026824.0,0.0005024,0.8124,0.8681,17.98,5.993,0.0,48.0,48.0,171.8,4,3
9,egfet,15078486.01,13033265.0,6677280.0,13026824.0,0.0005024,0.8124,0.8681,17.98,5.993,0.0,48.0,48.0,171.8,4,3
10,egfet,15078486.01,13033265.0,7091340.0,13026822.0,0.0005521,0.8124,0.9467,20.01,6.671,0.0,56.0,56.0,224.7,4,3
11,egfet,15078486.01,13033265.0,7091340.0,13026822.0,0.0005521,0.8124,0.9467,20.01,6.671,0.0,56.0,56.0,224.7,4,3
12,egfet,15078486.01,13033265.0,6022840.0,10375907.0,0.0005149,0.8124,1.314,22.97,7.658,0.0,64.0,64.0,318.0,4,3
13,egfet,15078486.01,13033265.0,6022840.0,10375907.0,0.0005149,0.8124,1.314,22.97,7.658,0.0,64.0,64.0,318.0,4,3
14,egfet,15078486.01,13033265.0,5925990.0,12424072.0,0.0006635,0.8124,1.698,25.95,8.65,0.0,96.0,96.0,713.7,4,3
15,egfet,15078486.01,13033265.0,5925990.0,12424072.0,0.0006635,0.8124,1.698,25.95,8.65,0.0,96.0,96.0,713.7,4,3
16,egfet,15078486.01,13033265.0,5363090.0,9966475.0,0.0005194,0.8124,1.466,28.02,9.339,0.0,104.0,104.0,706.5,4,3
17,egfet,15078486.01,13033265.0,4895177.0,14129482.0,0.000323,0.8124,0.9783,29.99,9.997,0.0,208.0,208.0,2286.0,4,3
18,egfet,15078486.01,13033265.0,4895177.0,14129482.0,0.000323,0.8124,0.9783,29.99,9.997,0.0,208.0,208.0,2286.0,4,3
19,egfet,15078486.01,13033265.0,3958410.0,9741524.0,0.0003391,0.9372,1.253,42.97,14.32,0.0,208.0,208.0,2362.0,4,3
-1,egfet,26070978.0,25988988.0,39521047.0,25988988.0,0.002534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
